📌 CLUSTER PROFILING (Top 10 TF-IDF Words per Cluster):
🔹 Cluster 00: بانک | شرکت | خبرآنلاین | عمومی | کشور | سال | بیمه | روابط | استان | جشنواره
🔹 Cluster 01: آموزش | دانشگاه | پرورش | دانش | تربیت | کشور | آموز | تعلیم | اسلامی | سازمان
🔹 Cluster 02: خبرنگار | آزمون | دانشگاه | آموزش | قرآن | اسلامی | کشور | برگزار | سال | مهر
🔹 Cluster 03: دانشگاه | فناوری | علمی | علوم | کشور | نقل | دانشجویان | مهر | شرکت | دانش
🔹 Cluster 04: کتاب | خبرنگار | اسلامی | قرآن | سال | فیلم | آموزش | برنامه | دانشگاه | کشور
🔹 Cluster 05: کشور | سال | دولت | باشگاه | تیم | استقلال | شده | فوتبال | کرد | رسانه
🔹 Cluster 06: رسانه | کرد | گروه | گفت | بچه | شبکه | مجازی | مردم | کشور | اجتماعی
🔹 Cluster 07: دانشجویان | باشگاه | علاقه | مند | ایسنا | تدریس | جهت | ساعت | الی | دانشگاه
🔹 Cluster 08: استفاده | خرید | قیمت | دستگاه | انواع | توانست | محصولات | خودرو | ماشین | انتخاب
🔹 Cluster 09: تیم | امروز | خبرنگار | مجلس | بازی | هزار | کشور | روز | قیمت | سال
🔹 Cluster 10: کتاب | داستان | انتشارات | نویسنده | روایت | چاپ | به | زندگی | منتشر | نوشته
🔹 Cluster 11: فناوری | شرکت | بنیان | دانش | علمی | کشور | معاونت | تولید | توسعه | حوزه
🔹 Cluster 12: قرآن | فارس | سریال | کرد | کار | برنامه | مردم | داشت | آیات | سال
🔹 Cluster 13: خارجه | امور | کشور | وزیر | خبرآنلاین | ۳۱۱۳۱۱ | امیرعبداللهیان | جمهوری | اسلامی | دیدار
🔹 Cluster 14: نوشت | توئی | مشرق | شبکه | فضای | صفحه | مطالب | منتشر | محتوای | تأیید
🔹 Cluster 15: تیم | بازی | لیگ | بازیکن | فوتبال | دقیقه | دیدار | مصاف | پرسپولیس | امتیاز
🔹 Cluster 16: واکسن | خبرنگار | بیماری | تیم | محقق | فارس | مطالعه | سال | کشور | ویروس
🔹 Cluster 17: آمریکا | کشور | خارجه | صهیونیست | گروه | بین | رژیم | دولت | الملل | روسیه
🔹 Cluster 18: فارس | تیم | پیام | جشنواره | کشور | انت | کتاب | فیلم | بازی | برنامه
🔹 Cluster 19: استان | اظهار | دانشگاه | کشور | سال | وگو | اشاره | مجلس | آموزش | مردم
🔹 Cluster 20: فیلم | سریال | کارگردانی | نمایش | سینمایی | تهیه | جشنواره | مستند | بازیگر | کارگردان
🔹 Cluster 21: کرد | فیلم | مردم | کشور | دولت | شد | به | داد | داشت | سال
🔹 Cluster 22: استان | سمنان | قزوین | خبرآنلاین | شهرستان | چهارمحال | طرح | اداره | شرکت | پلیس
🔹 Cluster 23: کتاب | اسلامی | برگزار | قرآن | مهر | نمایشگاه | فرهیخت | انقلاب | حضور | تهران
🔹 Cluster 24: خبرنگار | برگزار | کشور | دانشگاه | سال | اسلامی | آزمون | هزار | ماه | مراسم
🔹 Cluster 25: نقل | ایسنا | سال | کشور | انت | پیام | شده | فیلم | بانک | هزار
🔹 Cluster 26: کووید | بیمار | نفر | هزار | میلیون | کنون | مبتلا | مراقبت | مجموع | کشور
